20000
3 0
140000 0.14 757729
149900 0.15 6713
140000 0.13 918510
215000 0.24 1.44954e+06
895000 0.12 1.94722e+06
205000 0.27 1.00245e+06
4.995e+06 0.22 600936
159900 0.16 1.13607e+06
55000 0.07 1.92773e+06
5.195e+06 0.22 577950
185000 0.09 1.30826e+06
73000 0.21 1.32e+06
45000 0.06 1.67807e+06
102000 0.09 151180
875000 0.08 1.5812e+06
975000 0.3 9581
62000 0.11 1.58414e+06
299000 0.21 263836
2.1e+06 3 1.89993e+06
1.295e+06 0.28 329022
3.95e+06 0.41 1.39415e+06
1.975e+06 0.22 1.84382e+06
500000 1.02 1.53957e+06
349900 0.66 1.37003e+06
449000 0.4 10891
354900 0.47 1.03219e+06
299900 0.34 574272
254900 0.4 1.10487e+06
314900 0.23 1.16911e+06
875000 2.62 1.53988e+06
295000 0.14 1.17015e+06
178200 0.25 532181
200000 0.53 1.3148e+06
210000 0.25 1.70385e+06
409000 1.25 1.03326e+06
325000 0.11 697311
219900 0.29 522247
299000 0.49 329893
899900 2.49 1.71689e+06
269900 0.73 1.29798e+06
499000 0.6 1.66047e+06
179500 0.11 894140
275000 0.84 196548
520000 0.9 114981
239000 8.7 1.08749e+06
489900 0.08 483746
315000 0.21 848421
180000 0.86 166318
1.25e+06 0.16 1.21342e+06
550000 0.09 1.56395e+06
295000 3.91 1.12213e+06
319000 0.7 1.05321e+06
165000 0.24 1.33604e+06
191000 1.28 514381
285000 2.18 1.40754e+06
299900 0.27 1.5648e+06
219000 0.34 840856
279000 0.27 562818
360000 0.3 1.74609e+06
189900 0.32 1.75573e+06
224900 0.15 270269
285000 0.11 1.73894e+06
279900 0.19 1.19331e+06
175000 0.3 1.66948e+06
329000 0.16 173190
265000 0.2 222060
40000 0.2 1.20224e+06
180000 8.4 729950
199000 1.5 1.66911e+06
2.6e+06 182.78 912255
1.2e+06 103 472321
189000 0.21 1.81536e+06
219000 8.58 321740
174900 0.33 573738
304888 1.28 21168
1.35e+06 2.62 820931
220000 0.2 523793
825000 20.88 843849
349900 0.5 1.49973e+06
399900 0.11 160581
354900 0.4 1.44778e+06
369000 0.25 1.14098e+06
120000 0.2 476018
259000 0.28 1.02107e+06
129900 0.19 453413
2.4e+06 10.34 1.93135e+06
220000 0.6 765325
459000 1.72 789670
449900 5.45 191664
695000 0.07 956093
465000 0.63 299994
600000 5.6 787922
599000 0.27 329598
599900 0.35 1.31376e+06
524900 0.34 716391
642851 7.76 14394
559900 0.15 76362
1.75e+06 0.74 1.91177e+06
1.0549e+06 0.97 268737
899900 1.88 1.92026e+06
449900 2.03 312217
699900 0.28 956934
695000 0.65 1.97815e+06
950000 4.76 514598
759900 0.3 1.3117e+06
749900 1.38 598346
589900 0.57 732934
290000 0.8 371137
349900 0.09 1.62841e+06
439900 0.19 883699
879000 0.72 114903
119000 0.13 331580
270000 0.07 229134
429900 0.07 695249
398000 0.11 871837
299900 0.06 1.41796e+06
350000 0.7 1.68631e+06
329000 0.1 1.61452e+06
300000 0.04 796160
469900 0.39 556142
340000 0.18 260331
474900 1.03 603399
324900 0.08 484793
